timestamp,open,high,low,close,volume
2025-04-30 15:00:00,1759.27,1766.5,1759.2,1763.11,8466.3386
2025-04-30 15:15:00,1763.1,1766.48,1757.57,1764.09,5484.8797
2025-04-30 15:30:00,1764.1,1771.92,1761.19,1770.19,6738.6482
2025-04-30 15:45:00,1770.2,1770.2,1762.8,1764.74,3172.5321
2025-04-30 16:00:00,1764.73,1766.55,1759.41,1759.81,4138.8245
2025-04-30 16:15:00,1759.8,1762.04,1756.07,1762.04,4850.3174
2025-04-30 16:30:00,1762.04,1771.15,1758.57,1768.01,4025.6936
2025-04-30 16:45:00,1768.01,1770.19,1765.51,1767.99,2732.8819
2025-04-30 17:00:00,1767.99,1772.5,1761.8,1764.35,3731.6625
2025-04-30 17:15:00,1764.35,1772.38,1764.35,1771.02,2532.2102
2025-04-30 17:30:00,1771.01,1778.8,1768.31,1778.74,4061.2126
2025-04-30 17:45:00,1778.74,1779.59,1773.22,1775.53,3837.4298
2025-04-30 18:00:00,1775.53,1788.7,1773.01,1785.5,11437.8159
2025-04-30 18:15:00,1785.51,1789.6,1779.77,1780.38,6687.2208
2025-04-30 18:30:00,1780.38,1782.73,1777.08,1779.8,4160.7527
2025-04-30 18:45:00,1779.8,1785.7,1779.27,1782.48,2278.9168
2025-04-30 19:00:00,1782.49,1787.5,1782.49,1786.08,1952.3958
2025-04-30 19:15:00,1786.08,1786.9,1776.57,1778.2,2841.6884
2025-04-30 19:30:00,1778.21,1782.19,1775.92,1781.69,2824.6607
2025-04-30 19:45:00,1781.68,1792.97,1781.38,1786.69,5684.5808
2025-04-30 20:00:00,1786.7,1809.72,1784.61,1806.99,16645.291
2025-04-30 20:15:00,1806.99,1809.7,1802.42,1804.34,7976.7558
2025-04-30 20:30:00,1804.35,1804.65,1796.89,1798.77,3713.5387
2025-04-30 20:45:00,1798.78,1800.75,1792.79,1794.01,3410.7295
2025-04-30 21:00:00,1794.0,1800.7,1793.91,1796.16,3200.7638
2025-04-30 21:15:00,1796.16,1799.6,1796.13,1797.81,1077.7013
2025-04-30 21:30:00,1797.82,1799.24,1793.9,1795.77,3387.2612
2025-04-30 21:45:00,1795.77,1797.23,1790.67,1792.52,3020.8661
2025-04-30 22:00:00,1792.52,1799.52,1792.06,1796.34,5352.6497
2025-04-30 22:15:00,1796.35,1797.0,1792.5,1792.66,1118.018
2025-04-30 22:30:00,1792.67,1795.07,1790.2,1793.08,2220.8607
2025-04-30 22:45:00,1793.08,1796.15,1789.24,1795.39,2729.6714
2025-04-30 23:00:00,1795.4,1799.5,1794.13,1799.34,2756.633
2025-04-30 23:15:00,1799.35,1799.49,1794.79,1796.6,1663.1357
2025-04-30 23:30:00,1796.6,1797.88,1794.13,1794.13,1281.7083
2025-04-30 23:45:00,1794.13,1794.48,1792.21,1793.61,1474.3715
2025-05-01 00:00:00,1793.62,1799.0,1792.52,1795.6,2521.9285
2025-05-01 00:15:00,1795.6,1797.18,1793.0,1794.42,1526.6595
2025-05-01 00:30:00,1794.42,1796.98,1793.21,1796.0,1405.3021
2025-05-01 00:45:00,1795.99,1798.2,1795.79,1797.75,1701.9146
2025-05-01 01:00:00,1797.76,1806.73,1797.76,1802.85,4589.552
2025-05-01 01:15:00,1802.84,1806.64,1800.82,1802.0,2367.3308
2025-05-01 01:30:00,1801.99,1806.04,1800.3,1803.9,2727.0936
2025-05-01 01:45:00,1803.89,1810.55,1800.91,1809.91,4845.9504
2025-05-01 02:00:00,1809.92,1816.22,1807.12,1810.21,6678.9218
2025-05-01 02:15:00,1810.21,1815.69,1810.21,1815.08,4490.5231
2025-05-01 02:30:00,1815.08,1819.0,1812.6,1814.11,6138.8694
2025-05-01 02:45:00,1814.1,1814.65,1805.3,1807.56,5244.7109
2025-05-01 03:00:00,1807.57,1813.11,1806.5,1809.0,2741.9963
2025-05-01 03:15:00,1809.01,1811.9,1807.86,1811.89,1738.921
2025-05-01 03:30:00,1811.9,1814.19,1809.28,1812.37,3238.9716
